Hari ke-,Tanggal,Aktual y (USD),Prediksi LSTM (USD),Galat LSTM e (USD),Galat^2 LSTM,APE LSTM (%),Prediksi GRU (USD),Galat GRU e (USD),Galat^2 GRU,APE GRU (%)
1,2025-12-18,86132.81967724561,88235.09389634132,-2102.274219095707,4419556.8922744645,2.440735397927628,88762.91584933996,-2630.096172094345,6917405.874465327,3.0535354374206776
2,2025-12-19,85458.35125016868,86359.85686461329,-901.5056144446135,812712.3728751601,1.0549063973930037,87246.4607858628,-1788.1095356941223,3197335.7116402495,2.092375419764014
3,2025-12-20,88098.8189070791,85962.64421391189,2136.1746931672096,4563242.319728022,2.42474839012349,87038.0536414802,1060.7652655988932,1125222.9487010904,1.204062981500035
